contestId,contestName,perf,rank
2050,Codeforces Round 991 (Div. 3),null,7682
2040,Codeforces Round 992 (Div. 2),1226,5693
2040,Codeforces Round 992 (Div. 2),null,5693
2048,Codeforces Global Round 28,1063,9060
2048,Codeforces Global Round 28,null,9060
2049,Codeforces Round 994 (Div. 2),1533,3280
2049,Codeforces Round 994 (Div. 2),null,3280
2051,Codeforces Round 995 (Div. 3),1131,8454
2051,Codeforces Round 995 (Div. 3),null,8454
2043,Educational Codeforces Round 173 (Rated for Div. 2),810,14240
2043,Educational Codeforces Round 173 (Rated for Div. 2),null,14240
2057,Hello 2025,1232,7469
2057,Hello 2025,null,7469
2055,Codeforces Round 996 (Div. 2),1936,1262
2055,Codeforces Round 996 (Div. 2),null,1262
2056,Codeforces Round 997 (Div. 2),1527,3298
2056,Codeforces Round 997 (Div. 2),null,3298
2061,IAEPC Preliminary Contest (Codeforces Round 999  Div. 1 + Div. 2),1348,4770
2061,IAEPC Preliminary Contest (Codeforces Round 999  Div. 1 + Div. 2),null,4770
2062,Ethflow Round 1 (Codeforces Round 1001  Div. 1 + Div. 2),1526,4129
2062,Ethflow Round 1 (Codeforces Round 1001  Div. 1 + Div. 2),null,4129
2069,Educational Codeforces Round 174 (Rated for Div. 2),1572,2649
2069,Educational Codeforces Round 174 (Rated for Div. 2),null,2649
2072,Codeforces Round 1006 (Div. 3),1289,5788
2072,Codeforces Round 1006 (Div. 3),null,5788
2075,Educational Codeforces Round 176 (Rated for Div. 2),1582,2811
2075,Educational Codeforces Round 176 (Rated for Div. 2),null,2811
2085,Codeforces Round 1011 (Div. 2),1647,2160
2085,Codeforces Round 1011 (Div. 2),null,2160
2091,Codeforces Round 1013 (Div. 3),1518,2204
2091,Codeforces Round 1013 (Div. 3),null,2204
2086,Educational Codeforces Round 177 (Rated for Div. 2),1661,2078
2086,Educational Codeforces Round 177 (Rated for Div. 2),null,2078
2093,Codeforces Round 1016 (Div. 3),1391,3663
2093,Codeforces Round 1016 (Div. 3),null,3663
2103,Codeforces Round 1019 (Div. 2),1580,2320
2103,Codeforces Round 1019 (Div. 2),null,2320
2106,Codeforces Round 1020 (Div. 3),1782,566
2106,Codeforces Round 1020 (Div. 3),null,566
2104,Educational Codeforces Round 178 (Rated for Div. 2),1826,943
2104,Educational Codeforces Round 178 (Rated for Div. 2),null,943
